assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,0,0,0,0,192895,None,,0,0,-1,1,0.0,575,227,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Kieran,0.0,525,209,0,0,0,0.0,592,227,24,False,0.0,585,227,0,Season long loan to Real Sociedad,2023-08-29T07:46:59.686803Z,44,503,104,0,0,None,0,,192895.jpg,0.0,598,225,0,0,0,Tierney,0.1,399,155,False,None,0,0,u,1,3,0.0,561,225,0,2665,0,27879,117,0.0,0.0,Tierney,0
0,0,76,100,100,1,0.22,223723,None,,0,0,0,0,26.2,306,104,None,,0,2,4.2,4.7,2,0.23,0.05,0.61,0.13,0.38,4.77,1.03,0.08,Takehiro,3.7,64,17,4,0.87,1,14.7,289,101,25,False,76.8,261,105,415,,2023-08-22T00:00:07.272418Z,45,387,74,0,0,None,0,,223723.jpg,2.0,238,79,1,0,0.0,Tomiyasu,0.4,246,95,False,None,3,0.65,a,1,3,46.0,207,51,20,36132,3939,25341,1354,0.8,4.4,Tomiyasu,0
1,6,118,100,100,1,0.3,116216,4,,0,0,-5,5,127.3,95,69,None,,2,3,5.5,6.0,13,1.05,0.32,2.06,0.62,1.01,2.18,0.65,0.3,Leandro,5.0,36,17,3,0.9,3,43.7,91,57,26,False,158.2,135,54,300,,2023-10-09T08:30:07.911344Z,65,46,28,0,0,None,0,,116216.jpg,4.4,44,25,0,0,0.0,Trossard,2.3,123,36,False,None,3,0.9,a,1,3,151.0,65,40,35,180758,44147,506705,4036,0.8,5.4,Trossard,0
1,7,236,75,None,5,0.48,198869,None,,0,0,3,-3,176.2,56,11,None,,2,2,2.4,3.7,0,0.82,0.08,1.38,0.13,0.56,9.24,0.88,0.05,Benjamin,2.7,125,41,9,0.86,1,48.2,74,13,29,False,229.0,69,21,947,Muscle injury - 75% chance of playing,2023-11-12T02:00:08.673390Z,58,75,6,0,0,None,0,,198869.jpg,4.8,29,6,0,0,0.0,White,14.6,25,8,False,None,11,1.05,d,1,3,77.0,151,22,53,1194163,7243,710500,168525,0.5,9.1,White,2
0,0,0,0,0,0,0,84450,None,,0,0,0,0,0.0,735,319,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Granit,0.0,724,314,0,0,0,0.0,735,319,30,False,0.0,735,319,0,Transferred to Bayer Leverkusen,2023-07-11T08:41:07.159936Z,60,63,39,0,0,None,0,,84450.jpg,0.0,734,319,0,0,0,Xhaka,0.0,670,272,False,None,0,0,u,1,3,0.0,735,319,0,0,0,1186,7,0.0,0.0,Xhaka,0
0,6,191,None,None,4,0.54,206325,None,,0,0,-1,1,170.2,63,13,None,,1,2,6.8,7.3,10,1.00,0.14,1.34,0.19,0.34,5.52,0.75,0.05,Oleksandr,6.3,16,4,6,0.81,1,40.0,102,24,31,False,157.8,137,49,663,,None,49,247,31,0,0,None,0,,206325.jpg,4.0,61,12,0,0,0.0,Zinchenko,6.9,58,18,False,None,8,1.09,a,1,3,73.0,155,26,44,461556,97462,465160,5581,1.3,9.0,Zinchenko,1
0,2,152,0,None,4,0.5,154561,None,,0,0,-1,1,0.0,696,81,None,,0,1,0.0,4.7,3,0.00,0.0,0.00,0.0,0.00,5.82,0.73,0.0,David,3.7,68,5,6,0.75,0,11.1,319,21,113,False,112.0,207,21,720,Ineligible to face his parent club club on 25/11. - Expected back 02 Dec,2023-11-13T01:00:08.923385Z,49,235,8,0,0,None,0,,154561.jpg,4.4,43,3,0,12,1.5,Raya Martin,4.7,85,14,False,None,8,1.0,n,1,3,0.0,693,80,35,364003,8145,413485,29970,0.8,7.1,Raya,0
1,5,217,100,100,5,0.44,204480,None,,0,0,-1,1,151.3,69,50,None,,1,3,3.8,4.3,2,0.74,0.07,1.64,0.15,0.90,8.84,0.78,0.08,Declan,3.3,80,43,9,0.79,2,51.5,66,43,540,False,263.8,41,13,1023,,2023-09-24T22:30:08.321972Z,54,122,77,0,0,None,0,,204480.jpg,3.8,80,39,0,0,0.0,Rice,5.4,76,23,False,None,12,1.06,a,1,3,99.0,119,73,46,332451,12973,448763,15126,0.6,8.5,Rice,0
0,0,17,100,100,0,0.0,200641,None,,0,0,-1,1,32.4,279,149,None,,0,3,1.2,1.7,1,0.14,0.21,0.16,0.24,0.02,0.56,0.83,0.03,Reiss,0.7,297,143,0,0.0,0,5.3,374,171,578,False,10.8,399,180,61,,2023-08-07T15:30:06.067296Z,49,243,156,0,0,None,0,,200641.jpg,1.0,419,203,0,0,0.0,Nelson,0.0,522,184,False,None,0,0.0,a,1,3,10.0,348,177,5,5589,142,6129,171,0.1,1.0,Nelson,0
0,0,3,0,0,0,0.0,445122,None,,0,0,-4,4,2.4,393,145,None,,0,2,0.0,0.0,0,0.01,0.02,0.01,0.02,0.00,0.28,0.51,0.0,Jurriën,0.0,639,230,0,0.0,0,0.6,439,156,585,False,3.6,431,157,49,Knee injury - Unknown return date,2023-08-12T18:00:07.121160Z,46,347,48,0,0,None,0,,445122.jpg,0.0,690,238,0,0,0.0,Timber,0.5,239,93,False,None,1,1.84,i,1,3,0.0,674,239,0,11801,56,475417,543,0.0,0.0,J.Timber,1
